id,name,username,catalyst_url,total_projects,funded_projects,completed_projects,total_distributed_usd,total_remaining_usd,total_requested_usd
23527,Atrium Lab Inc.,bigpey,https://projectcatalyst.io/proposers/bigpey,27,15,14,1607172.0,50352.0,3302239.0
77458,Matteo Coppola,fluidtokens,https://projectcatalyst.io/proposers/fluidtokens,14,10,2,1579130.0,647470.0,3247054.0
49886,Robert Hever,robertc3,https://projectcatalyst.io/proposers/robertc3,16,10,10,1454352.0,0.0,4543444.0
22974,Raz,raz,https://projectcatalyst.io/proposers/raz,110,32,29,1351101.0,51455.0,6484998.0
77073,YURI KURIYAMA,yuri,https://projectcatalyst.io/proposers/yuri,12,12,7,1278294.0,479109.0,1757403.0
53841,damon,djzwar,https://projectcatalyst.io/proposers/djzwar,15,9,9,1253172.0,0.0,4398720.0
43276,Indigo Labs,indigolabs,https://projectcatalyst.io/proposers/indigolabs,10,9,7,1237312.85,116648.15,1563761.0
51202,Wolfram Blockchain Labs,wolfram.blockchain.labs,https://projectcatalyst.io/proposers/wolfram.blockchain.labs,24,12,12,1228440.0,0.0,3288334.0
80761,SIDAN Lab,sidanlab,https://projectcatalyst.io/proposers/sidanlab,16,12,12,1152511.0,0.0,1834361.0
31066,Wada,wada,https://projectcatalyst.io/proposers/wada,126,44,44,1143225.0,6250.0,7298292.0
92607,Piotr Godzinski,techstars,https://projectcatalyst.io/proposers/techstars,2,1,0,1131871.0,231829.0,2064820.0
77755,Catalyst Rider,catalystrider,https://projectcatalyst.io/proposers/catalystrider,20,8,8,1126863.0,0.0,3241701.0
81900,Socious Team,socious,https://projectcatalyst.io/proposers/socious,6,6,5,1121332.0,136252.0,1257584.0
28452,Mr. Goose,mr.goose,https://projectcatalyst.io/proposers/mr.goose,9,7,6,1114216.0,63222.0,1911738.0
77817,rand McHenry,randcorp,https://projectcatalyst.io/proposers/randcorp,16,8,8,1073851.0,0.0,3376669.0
77812,Wes Parkinson,rareevo,https://projectcatalyst.io/proposers/rareevo,16,8,8,1073851.0,0.0,3376669.0
23782,Kyle Solomon [FROG],adosiawolf,https://projectcatalyst.io/proposers/adosiawolf,23,10,9,1066479.0,96504.0,2012638.0
39364,$conrad,blade,https://projectcatalyst.io/proposers/blade,8,6,5,1053426.0,63222.0,1850948.0
61721,BigIrishLion,bigirishlion,https://projectcatalyst.io/proposers/bigirishlion,6,6,5,1053426.0,63222.0,1116648.0
61738,Papa Goose,papagoose,https://projectcatalyst.io/proposers/papagoose,6,6,5,1053426.0,63222.0,1116648.0
37298,Felix Weber [SWARM],felixweber,https://projectcatalyst.io/proposers/felixweber,83,27,26,1050830.0,23078.0,10566166.0
76657,Xerberus,xersimp,https://projectcatalyst.io/proposers/xersimp,6,5,1,1040383.0,237726.0,1327128.0
53238,Minswap Labs,minswapdex,https://projectcatalyst.io/proposers/minswapdex,11,8,5,1035613.0,212065.0,1927168.0
70222,Seira Yun Socious.io,seirayun,https://projectcatalyst.io/proposers/seirayun,16,12,12,1028677.0,0.0,1391538.0
23890,quinn,mqp,https://projectcatalyst.io/proposers/mqp,16,9,9,1026000.0,10000.0,1136000.0
