proposerId,username,name,ideascaleUrl,approved_projects_count,paid_projects_count,flags_count,flags_weight,flag_ids,flag_counts_by_id
28342,felicien.fotiomanfo,Félicien Fotio Manfo,https://cardano.ideascale.com/c/profile/28342,6,5,0,0,,
50928,fsorg,Florian Sorg,https://cardano.ideascale.com/c/profile/50928,5,5,0,0,,
40001,gabrielaxel,Gabriel Axel,https://cardano.ideascale.com/c/profile/40001,5,5,0,0,,
40674,gauthierlamothe,Gauthier Lamothe,https://cardano.ideascale.com/c/profile/40674,5,5,0,0,,
53090,gonzalocamps,Gonzalo Camps,https://cardano.ideascale.com/c/profile/53090,5,5,0,0,,
72141,iagon,Iagon Team,https://cardano.ideascale.com/c/profile/72141,5,5,0,0,,
31313,javiertc86,javiertc86,https://cardano.ideascale.com/c/profile/31313,5,5,0,0,,
61839,jmdegamboa,Jose M De Gamboa,https://cardano.ideascale.com/c/profile/61839,5,5,0,0,,
52159,judeebene,judeebene,https://cardano.ideascale.com/c/profile/52159,5,5,0,0,,
72021,littlefish.foundation,Littlefish Foundation,https://cardano.ideascale.com/c/profile/72021,5,5,0,0,,
68412,metafrontier,Metafrontier.inc,https://cardano.ideascale.com/c/profile/68412,5,5,0,0,,
77051,micah,micah Kendall,https://cardano.ideascale.com/c/profile/77051,5,5,0,0,,
69247,nielstron,Niels,https://cardano.ideascale.com/c/profile/69247,5,5,0,0,,
cardano/iHcloTYdVA9JX6z__NVla1Dmea5VRSbPqUsw7w_u4Zc,Nucast,Nucast,https://cardano.ideascale.com/c/profile/cardano/iHcloTYdVA9JX6z__NVla1Dmea5VRSbPqUsw7w_u4Zc,5,5,0,0,,
53716,titan,Oscar,https://cardano.ideascale.com/c/profile/53716,6,5,0,0,,
74871,invalidcredentials,Patrick,https://cardano.ideascale.com/c/profile/74871,5,5,0,0,,
76002,tidvn,Phung Tien Dung,https://cardano.ideascale.com/c/profile/76002,5,5,0,0,,
36151,npaquoc87,Quoc ADAUP,https://cardano.ideascale.com/c/profile/36151,5,5,0,0,,
cardano/8FCO5L1DGl53_OWOo8jy2d33-u-luxhxKe9PnVbv8Y0,Robert Hever,Robert Hever,https://cardano.ideascale.com/c/profile/cardano/8FCO5L1DGl53_OWOo8jy2d33-u-luxhxKe9PnVbv8Y0,5,5,0,0,,
56849,tomwedler,Thomas Wedler,https://cardano.ideascale.com/c/profile/56849,7,5,0,0,,
61875,thonghv,Thong Hoang Van,https://cardano.ideascale.com/c/profile/61875,5,5,0,0,,
72302,ada.anvil,tqueri,https://cardano.ideascale.com/c/profile/72302,5,5,0,0,,
27486,troy,Troy,https://cardano.ideascale.com/c/profile/27486,5,5,0,0,,
59477,vcoincheck,Viet Cardano Community,https://cardano.ideascale.com/c/profile/59477,5,5,0,0,,
60286,volibra,volibra,https://cardano.ideascale.com/c/profile/60286,5,5,0,0,,
52825,yumiai,yümi & ai,https://cardano.ideascale.com/c/profile/52825,5,5,0,0,,
23882,jcaso,[BOOST],https://cardano.ideascale.com/c/profile/23882,4,4,0,0,,
34295,strangelet.lol,Adnan,https://cardano.ideascale.com/c/profile/34295,4,4,0,0,,
51497,afia,Afia Owusu,https://cardano.ideascale.com/c/profile/51497,4,4,0,0,,
81389,agrowlabsco,Agrow Labs,https://cardano.ideascale.com/c/profile/81389,4,4,0,0,,
77313,agustinbadi,Agustín Salinas,https://cardano.ideascale.com/c/profile/77313,4,4,0,0,,
24317,aidan,Aidan,https://cardano.ideascale.com/c/profile/24317,5,4,0,0,,
99384,achalmers2025,Alex Chalmers,https://cardano.ideascale.com/c/profile/99384,4,4,0,0,,
59837,ambassadorsguild,Ambassadors Guild,https://cardano.ideascale.com/c/profile/59837,4,4,0,0,,
87116,andamio,Andamio Team,https://cardano.ideascale.com/c/profile/87116,4,4,0,0,,
80460,andrej,Andrej Solar,https://cardano.ideascale.com/c/profile/80460,4,4,0,0,,
41473,ben.stokes,Ben Stokes,https://cardano.ideascale.com/c/profile/41473,4,4,0,0,,
48344,tairea,Ben Tairea,https://cardano.ideascale.com/c/profile/48344,4,4,0,0,,
77806,danogo,Binh Mai,https://cardano.ideascale.com/c/profile/77806,4,4,0,0,,
51939,bryan77,Bryan,https://cardano.ideascale.com/c/profile/51939,4,4,0,0,,
76566,catalystafricatownhall,Catalyst Africa Town Hall,https://cardano.ideascale.com/c/profile/76566,4,4,0,0,,
60776,ccadminteam,Catalyst Circle Admin Team,https://cardano.ideascale.com/c/profile/60776,4,4,0,0,,
39287,hayungs,Christian Hayungs,https://cardano.ideascale.com/c/profile/39287,4,4,0,0,,
58313,crjarove,Cristian Jair Rojas Velez,https://cardano.ideascale.com/c/profile/58313,4,4,0,0,,
cardano/G_VrXLhSZ4yE9iqJBsX3Num5PTqS8OrAkV7jjfhU8Xg,Dinesh Kumar,Dinesh Kumar,https://cardano.ideascale.com/c/profile/cardano/G_VrXLhSZ4yE9iqJBsX3Num5PTqS8OrAkV7jjfhU8Xg,4,4,0,0,,
33542,dsafine,Dmitri Safine,https://cardano.ideascale.com/c/profile/33542,4,4,0,0,,
30514,dorus,Dorus van der Kroft,https://cardano.ideascale.com/c/profile/30514,4,4,0,0,,
77195,nalyd88,Dylan Crocker,https://cardano.ideascale.com/c/profile/77195,4,4,0,0,,
52689,ed.eykholt,Ed Eykholt,https://cardano.ideascale.com/c/profile/52689,4,4,0,0,,
cardano/Jo4gGXWC039CRtzKv-_LRBOomllTSW9UEV-L5DfrU-M,FundacionBlockchainArgentina,FundacionBlockchainArgentina,https://cardano.ideascale.com/c/profile/cardano/Jo4gGXWC039CRtzKv-_LRBOomllTSW9UEV-L5DfrU-M,4,4,0,0,,
77116,geniusyieldteam,Genius Yield,https://cardano.ideascale.com/c/profile/77116,4,4,0,0,,
81261,gimbalabs.hk,Gimbalabs HK,https://cardano.ideascale.com/c/profile/81261,4,4,0,0,,
77275,gisela.arcella,Gisela(Arcella),https://cardano.ideascale.com/c/profile/77275,4,4,0,0,,
52992,guilherme.pereira,Guilherme Pereira da Silva,https://cardano.ideascale.com/c/profile/52992,4,4,0,0,,
50727,gustapug,Gustavo Pugliese,https://cardano.ideascale.com/c/profile/50727,4,4,0,0,,
32826,vicepool,Igor [VICE],https://cardano.ideascale.com/c/profile/32826,4,4,0,0,,
38296,ipeksahiner,Ipek Sahiner,https://cardano.ideascale.com/c/profile/38296,4,4,0,0,,
32034,jeffghome2020,jeffg,https://cardano.ideascale.com/c/profile/32034,4,4,0,0,,
76366,jingles,Jingles K,https://cardano.ideascale.com/c/profile/76366,4,4,0,0,,
36987,jon1980s,Jonathan W.,https://cardano.ideascale.com/c/profile/36987,4,4,0,0,,
55471,maniakugel,June Akra,https://cardano.ideascale.com/c/profile/55471,6,4,0,0,,
76633,thanhkd,Khuat Dinh Thanh,https://cardano.ideascale.com/c/profile/76633,4,4,0,0,,
25949,lennext,lenkabul,https://cardano.ideascale.com/c/profile/25949,4,4,0,0,,
85094,lenna,Lenna Onto,https://cardano.ideascale.com/c/profile/85094,4,4,0,0,,
32788,mm,Maarten Menheere,https://cardano.ideascale.com/c/profile/32788,4,4,0,0,,
37922,quest.zwerg,Marcin Kugla,https://cardano.ideascale.com/c/profile/37922,4,4,0,0,,
53537,martig11,Martina González,https://cardano.ideascale.com/c/profile/53537,4,4,0,0,,
66315,mauandreo10,Mauro Andreoli,https://cardano.ideascale.com/c/profile/66315,4,4,0,0,,
23082,michal.petro,michal.petro,https://cardano.ideascale.com/c/profile/23082,4,4,0,0,,
40911,mr.mietrich,Mike D,https://cardano.ideascale.com/c/profile/40911,4,4,0,0,,
